Date,Close,Volume
20/11/2018,1.31,2376949
21/11/2018,1.315,1253013
22/11/2018,1.335,689668
23/11/2018,1.335,1359290
26/11/2018,1.36,1005827
27/11/2018,1.325,1235358
28/11/2018,1.32,888135
29/11/2018,1.315,1151224
30/11/2018,1.325,1528440
3/12/2018,1.33,1266474
4/12/2018,1.275,1986130
5/12/2018,1.275,702390
6/12/2018,1.235,1100973
7/12/2018,1.24,866890
10/12/2018,1.24,915933
11/12/2018,1.185,1455296
12/12/2018,1.155,1459938
13/12/2018,1.195,2074087
14/12/2018,1.14,1831047
17/12/2018,1.145,743817
18/12/2018,1.085,1356840
19/12/2018,1.07,1055163
20/12/2018,1.075,1051011
21/12/2018,1.035,2202189
24/12/2018,1.075,426066
27/12/2018,1.04,1332840
28/12/2018,1.2,1874357
31/12/2018,1.16,1196593
2/01/2019,1.265,1194405
3/01/2019,1.295,1114890
4/01/2019,1.315,625239
7/01/2019,1.34,1643973
8/01/2019,1.365,917055
9/01/2019,1.395,1036698
10/01/2019,1.315,1126990
11/01/2019,1.34,486627
14/01/2019,1.31,865419
15/01/2019,1.32,511182
16/01/2019,1.35,748323
17/01/2019,1.3,989332
18/01/2019,1.37,773896
21/01/2019,1.34,261667
22/01/2019,1.355,233959
23/01/2019,1.375,329240
24/01/2019,1.34,986218
25/01/2019,1.305,513677
29/01/2019,1.275,825404
30/01/2019,1.21,1791165
31/01/2019,1.175,1110226
1/02/2019,1.17,935705
4/02/2019,1.17,884719
5/02/2019,1.17,753645
6/02/2019,1.175,640268
7/02/2019,1.175,914461
8/02/2019,1.165,628839
11/02/2019,1.175,529645
12/02/2019,1.18,571555
13/02/2019,1.17,657768
14/02/2019,1.175,214906
15/02/2019,1.165,469276
18/02/2019,1.165,212499
19/02/2019,1.175,429361
20/02/2019,1.185,554916
21/02/2019,1.17,1298111
22/02/2019,1.175,461748
25/02/2019,1.235,1208683
26/02/2019,1.26,1023729
27/02/2019,1.255,551047
28/02/2019,1.235,1112771
1/03/2019,1.23,589807
4/03/2019,1.22,766542
5/03/2019,1.23,369385
6/03/2019,1.23,1062686
7/03/2019,1.225,398363
8/03/2019,1.2,606065
11/03/2019,1.18,462418
12/03/2019,1.195,252651
13/03/2019,1.19,468465
14/03/2019,1.2,4455231
15/03/2019,1.27,4558460
18/03/2019,1.4,2360639
19/03/2019,1.48,2904665
20/03/2019,1.34,2223030
21/03/2019,1.345,972211
22/03/2019,1.385,837910
25/03/2019,1.415,1191820
26/03/2019,1.4,1279441
27/03/2019,1.39,919563
28/03/2019,1.385,301623
29/03/2019,1.435,988644
1/04/2019,1.5,1109368
2/04/2019,1.56,2162334
3/04/2019,1.5,1295902
4/04/2019,1.44,1547577
5/04/2019,1.41,900954
8/04/2019,1.49,1166868
9/04/2019,1.535,1319934
10/04/2019,1.535,989606
11/04/2019,1.48,859627
12/04/2019,1.52,790150
15/04/2019,1.59,1403397
16/04/2019,1.55,1766043
17/04/2019,1.55,827661
18/04/2019,1.565,685503
23/04/2019,1.565,486128
24/04/2019,1.555,706842
26/04/2019,1.59,1089859
29/04/2019,1.625,434219
30/04/2019,1.64,1244979
1/05/2019,1.6,769758
2/05/2019,1.525,900507
3/05/2019,1.56,498975
6/05/2019,1.55,505529
7/05/2019,1.54,342367
8/05/2019,1.5,532712
9/05/2019,1.535,430030
10/05/2019,1.525,764272
13/05/2019,1.55,647143
14/05/2019,1.525,385944
15/05/2019,1.48,479144
16/05/2019,1.48,311170
17/05/2019,1.46,391214
20/05/2019,1.49,486232
21/05/2019,1.475,228162
22/05/2019,1.52,651288
23/05/2019,1.5,311599
24/05/2019,1.475,509444
27/05/2019,1.44,274894
28/05/2019,1.495,543367
29/05/2019,1.46,619550
30/05/2019,1.43,933342
31/05/2019,1.39,949149
3/06/2019,1.395,276291
4/06/2019,1.45,797766
5/06/2019,1.48,535613
6/06/2019,1.445,237225
7/06/2019,1.44,420663
11/06/2019,1.465,774046
12/06/2019,1.46,383140
13/06/2019,1.455,381646
14/06/2019,1.44,316545
17/06/2019,1.39,717079
18/06/2019,1.38,431501
19/06/2019,1.37,308693
20/06/2019,1.35,535861
21/06/2019,1.37,979985
24/06/2019,1.44,1655853
25/06/2019,1.41,1056481
26/06/2019,1.45,2389674
27/06/2019,1.415,634274
28/06/2019,1.475,995797
1/07/2019,1.42,691911
2/07/2019,1.415,1356744
3/07/2019,1.42,377260
4/07/2019,1.44,366268
5/07/2019,1.445,432703
8/07/2019,1.55,1656854
9/07/2019,1.5,740955
10/07/2019,1.53,4178131
11/07/2019,1.525,356339
12/07/2019,1.5,259946
15/07/2019,1.45,718399
16/07/2019,1.51,540483
17/07/2019,1.48,414261
18/07/2019,1.475,380717
19/07/2019,1.46,365196
22/07/2019,1.49,235151
23/07/2019,1.485,255932
24/07/2019,1.49,394733
25/07/2019,1.525,657573
26/07/2019,1.525,260717
